"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"BS","2021-06-03","2021-06-02","quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-06-03","quantile",0.05,0,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-25","quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-26","quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-27","quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-28","quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-29","quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-30","quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-31","quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-06-01","quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-06-02","quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-06-03","quantile",0.2,0,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-25","quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-26","quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-27","quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-28","quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-29","quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-30","quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-31","quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-06-01","quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-06-02","quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-06-03","quantile",0.35,0,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-25","quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-26","quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-27","quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-28","quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-29","quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-30","quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-31","quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-06-01","quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-06-02","quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-06-03","quantile",0.5,0,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-25","quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-26","quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-27","quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-28","quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-29","quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-30","quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-31","quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-06-01","quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-06-02","quantile",0.65,2,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-06-03","quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-25","quantile",0.8,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-26","quantile",0.8,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-27","quantile",0.8,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-28","quantile",0.8,1,"COVID-19","Epiforecast",FALSE,1
"BS","2021-06-03","2021-05-29","quantile",0.8,0,"COVID-19","Epiforecast",FALSE,0
"BS","2021-06-03","2021-05-30","quantile",0.8,0,"COVID-19","Epiforecast",FALSE,0
