"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"BS",2021-02-02,2021-01-30,"mean",NA,0.759,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-02,2021-01-31,"mean",NA,2.251,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-02,2021-02-01,"mean",NA,1.64,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-02,2021-02-02,"mean",NA,1.723,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-01-25,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-01-26,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-01-27,"quantile",0.05,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-02-03,2021-01-28,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-01-29,"quantile",0.05,3,"COVID-19","Epiforecast",FALSE,3
"BS",2021-02-03,2021-01-30,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-01-31,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-02-01,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-02-02,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-02-03,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,2
"BS",2021-02-03,2021-01-25,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-01-26,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-01-27,"quantile",0.2,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-02-03,2021-01-28,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-01-29,"quantile",0.2,3,"COVID-19","Epiforecast",FALSE,3
"BS",2021-02-03,2021-01-30,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-01-31,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-02-01,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-02-02,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-02-03,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,2
"BS",2021-02-03,2021-01-25,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-01-26,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-01-27,"quantile",0.35,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-02-03,2021-01-28,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-01-29,"quantile",0.35,3,"COVID-19","Epiforecast",FALSE,3
"BS",2021-02-03,2021-01-30,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-01-31,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-02-01,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-02-02,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-02-03,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,2
"BS",2021-02-03,2021-01-25,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-01-26,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-01-27,"quantile",0.5,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-02-03,2021-01-28,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-01-29,"quantile",0.5,3,"COVID-19","Epiforecast",FALSE,3
"BS",2021-02-03,2021-01-30,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-01-31,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-02-01,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-02-02,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-02-03,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,2
"BS",2021-02-03,2021-01-25,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-01-26,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-01-27,"quantile",0.65,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-02-03,2021-01-28,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-01-29,"quantile",0.65,3,"COVID-19","Epiforecast",FALSE,3
"BS",2021-02-03,2021-01-30,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-01-31,"quantile",0.65,2,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-02-01,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-02-02,"quantile",0.65,2,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-02-03,"quantile",0.65,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-02-03,2021-01-25,"quantile",0.8,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-02-03,2021-01-26,"quantile",0.8,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-02-03,2021-01-27,"quantile",0.8,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-02-03,2021-01-28,"quantile",0.8,1,"COVID-19","Epiforecast",FALSE,1
