"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"GE",2021-06-21,2021-06-15,"mean",NA,0.263,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-21,2021-06-16,"mean",NA,0.333,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-21,2021-06-17,"mean",NA,0.416,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-21,2021-06-18,"mean",NA,0.445,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-21,2021-06-19,"mean",NA,0.529,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-21,2021-06-20,"mean",NA,0.598,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-21,2021-06-21,"mean",NA,0.658,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-03,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-04,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-05,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-06,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-07,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-08,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-09,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-10,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-11,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-12,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-13,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-14,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-15,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-16,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-17,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-18,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-19,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-20,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-21,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-22,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-03,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-04,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-05,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-06,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-07,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-08,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-09,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-10,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-11,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-12,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-13,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-14,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-15,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-16,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-17,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-18,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-19,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-20,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-21,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-22,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-03,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-04,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-05,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-06,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-07,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-08,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-09,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-10,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-11,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-12,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-13,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-14,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-15,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-16,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-17,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-18,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-19,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-20,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-21,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-22,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-03,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-04,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-05,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-06,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-07,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-08,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-09,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-10,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-11,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-12,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-13,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-14,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-15,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-16,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-17,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-18,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-19,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-20,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-21,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-22,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-03,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-04,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-05,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-06,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-07,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-08,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-09,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-10,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-11,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-22,2021-06-12,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-13,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-14,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-15,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-16,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-17,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-18,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-22,2021-06-19,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
